file,source,rights,shortcode,date
2018-08-26_Bm8x6rYj1E5.jpg,instagram.com/@shavitness post Bm8x6rYj1E5,client-owned social post (@shavitness); reuse pending Shavit written sign-off,Bm8x6rYj1E5,2018-08-26
2019-08-11_B1ANBo4gwM-.jpg,instagram.com/@shavitness post B1ANBo4gwM-,client-owned social post (@shavitness); reuse pending Shavit written sign-off,B1ANBo4gwM-,2019-08-11
2019-08-31_B113zzngpMB.jpg,instagram.com/@shavitness post B113zzngpMB,client-owned social post (@shavitness); reuse pending Shavit written sign-off,B113zzngpMB,2019-08-31
2019-12-20_B6TbfcfgSB4_0.jpg,instagram.com/@shavitness post B6TbfcfgSB4,client-owned social post (@shavitness); reuse pending Shavit written sign-off,B6TbfcfgSB4,2019-12-20
2019-12-20_B6TbfcfgSB4_1.jpg,instagram.com/@shavitness post B6TbfcfgSB4,client-owned social post (@shavitness); reuse pending Shavit written sign-off,B6TbfcfgSB4,2019-12-20
2019-12-20_B6TbfcfgSB4_2.jpg,instagram.com/@shavitness post B6TbfcfgSB4,client-owned social post (@shavitness); reuse pending Shavit written sign-off,B6TbfcfgSB4,2019-12-20
2020-07-03_CCMHiGVgf5T_0.jpg,instagram.com/@shavitness post CCMHiGVgf5T,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CCMHiGVgf5T,2020-07-03
2020-07-03_CCMHiGVgf5T_1.jpg,instagram.com/@shavitness post CCMHiGVgf5T,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CCMHiGVgf5T,2020-07-03
2020-11-26_CIELgJBgDpO.jpg,instagram.com/@shavitness post CIELgJBgDpO,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CIELgJBgDpO,2020-11-26
2021-04-30_COS_fTbAC-o.jpg,instagram.com/@shavitness post COS_fTbAC-o,client-owned social post (@shavitness); reuse pending Shavit written sign-off,COS_fTbAC-o,2021-04-30
2021-06-23_CQeDOLXn3if_0.jpg,instagram.com/@shavitness post CQeDOLXn3if,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CQeDOLXn3if,2021-06-23
2021-06-23_CQeDOLXn3if_1.jpg,instagram.com/@shavitness post CQeDOLXn3if,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CQeDOLXn3if,2021-06-23
2021-06-23_CQeDOLXn3if_2.jpg,instagram.com/@shavitness post CQeDOLXn3if,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CQeDOLXn3if,2021-06-23
2022-01-29_CZUcaYvrfvj_0.jpg,instagram.com/@shavitness post CZUcaYvrfvj,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CZUcaYvrfvj,2022-01-29
2022-01-29_CZUcaYvrfvj_1.jpg,instagram.com/@shavitness post CZUcaYvrfvj,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CZUcaYvrfvj,2022-01-29
2022-01-29_CZUcaYvrfvj_2.jpg,instagram.com/@shavitness post CZUcaYvrfvj,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CZUcaYvrfvj,2022-01-29
2022-01-29_CZUcaYvrfvj_3.jpg,instagram.com/@shavitness post CZUcaYvrfvj,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CZUcaYvrfvj,2022-01-29
2022-03-22_Cba7FD0vnb3.jpg,instagram.com/@shavitness post Cba7FD0vnb3,client-owned social post (@shavitness); reuse pending Shavit written sign-off,Cba7FD0vnb3,2022-03-22
2022-04-01_Cb0pln6vYjX_0.jpg,instagram.com/@shavitness post Cb0pln6vYjX,client-owned social post (@shavitness); reuse pending Shavit written sign-off,Cb0pln6vYjX,2022-04-01
2022-04-01_Cb0pln6vYjX_1.jpg,instagram.com/@shavitness post Cb0pln6vYjX,client-owned social post (@shavitness); reuse pending Shavit written sign-off,Cb0pln6vYjX,2022-04-01
2022-04-14_CcVrnf2vL1N_0.jpg,instagram.com/@shavitness post CcVrnf2vL1N,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CcVrnf2vL1N,2022-04-14
2022-04-14_CcVrnf2vL1N_1.jpg,instagram.com/@shavitness post CcVrnf2vL1N,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CcVrnf2vL1N,2022-04-14
2022-04-19_CcihPNTvyA7_0.jpg,instagram.com/@shavitness post CcihPNTvyA7,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CcihPNTvyA7,2022-04-19
2022-04-19_CcihPNTvyA7_1.jpg,instagram.com/@shavitness post CcihPNTvyA7,client-owned social post (@shavitness); reuse pending Shavit written sign-off,CcihPNTvyA7,2022-04-19
